MCBP2022 R-CARTES long form data,,,,,
DATE,SITE,Count Blue,Pink,Turquoise,Image name
13.6.22,SVT1,1,,0,
13.6.22,SVT2,2,,0,
13.6.22,SVT3,3,,4,
13.6.22,SVT4,1,,5,
13.6.22,SVT5,1,,6,
13.6.22,SVT6,3,,2,
13.6.22,VNX1,0,,2,
13.6.22,VNX2,0,,6,
13.6.22,VNX3,0,,1,
13.6.22,VNX4,0,,1,
13.6.22,VNX5,0,,1,
13.6.22,VNX6,1,,1,
13.6.22,MRD1,10,,6,
13.6.22,MRD2,12,,4,
13.6.22,MRD3,8,,8,
13.6.22,MRD4,17,,16,
13.6.22,MRD5,8,,5,
13.6.22,MRD6,11,,7,
20.6.22,VNX1,0,,0,
20.6.22,VNX2,1,,27,
20.6.22,VNX3,0,,20,
20.6.22,VNX4,0,,8,
20.6.22,VNX5,0,,4,
20.6.22,VNX6 ,0,,23,
20.6.22,SVT1,0,,0,
20.6.22,SVT2,0,,1,
20.6.22,SVT3,0,,4,
20.6.22,SVT4,0,,2,
20.6.22,SVT5,0,,0,
20.6.22,SVT6,0,,9,
20.6.22,MRD1,0,,0,
20.6.22,MRD2,0,,6,
20.6.22,MRD3,0,,51,
20.6.22,MRD4,0,,2,
20.6.22,MRD5,1,,4,
20.6.22,MRD6,0,,3,
20.6.22,Shallow_MRD1,0,,3,
20.6.22,Shallow_MRD2,0,,1,
20.6.22,Shallow_MRD3,0,,2,
20.6.22,East_MRD1,1,,0,
20.6.22,East_MRD2,0,,0,
20.6.22,East_MRD3,0,,1,
20.6.22,River,18,,2,
20.6.22,Fountain,0,,0,
27.6.22,VNX1,1,,8,
27.6.22,VNX2,1,,4,
27.6.22,VNX3,0,,0,
27.6.22,VNX4,0,,0,
27.6.22,VNX5,0,,5,
27.6.22,VNX6 ,0,,2,
27.6.22,SVT1,0,,3,
27.6.22,SVT2,0,,2,
27.6.22,SVT3,0,,70,
27.6.22,SVT4,0,,34,
27.6.22,SVT5,0,,6,
27.6.22,SVT6,1,,60,
27.6.22,MRD1,4,,69,
27.6.22,MRD2,1,,7,
27.6.22,MRD3,0,,21,
27.6.22,MRD4,0,,6,
27.6.22,MRD5,0,,3,
27.6.22,MRD6,2,,8,
2.7.22,VNX1,0,,5,
2.7.22,VNX2,1,,11,
2.7.22,VNX3,0,,9,
2.7.22,VNX4,0,,18,
2.7.22,VNX5,0,,16,
2.7.22,VNX6 ,0,,29,
2.7.22,SVT1,0,,10,
2.7.22,SVT2,0,,3,
2.7.22,SVT3,0,,0,
2.7.22,SVT4,0,,14,
2.7.22,SVT5,0,,33,
2.7.22,SVT6,0,,39,
2.7.22,MRD1,0,,7,
2.7.22,MRD2,0,,6,
2.7.22,MRD3,0,,8,
2.7.22,MRD4,0,,18,
2.7.22,MRD5,0,,8,
2.7.22,MRD6,0,,8,
4.7.22,VNX1,0,,0,
4.7.22,VNX2,0,,5,
4.7.22,VNX3,1,,24,
4.7.22,VNX4,0,,4,
4.7.22,VNX5,0,,28,
4.7.22,VNX6 ,1,,9,
4.7.22,SVT1,1,,1,
4.7.22,SVT2,0,,77,
4.7.22,SVT3,1,,68,
4.7.22,SVT4,0,,95,
4.7.22,SVT5,1,,29,
4.7.22,SVT6,1,,20,
4.7.22,MRD1,1,,1,
4.7.22,MRD2,1,,2,
4.7.22,MRD3,0,,10,
4.7.22,MRD4,0,,7,
4.7.22,MRD5,0,,2,
4.7.22,MRD6,2,,34,
11.7.22,VNX1,0,,2,
11.7.22,VNX2,0,,5,
11.7.22,VNX3,0,,2,
11.7.22,VNX4,0,,24,
11.7.22,VNX5,0,,13,
11.7.22,VNX6 ,0,,5,
11.7.22,SVT1,0,,0,
11.7.22,SVT2,0,,0,
11.7.22,SVT3,0,,19,
11.7.22,SVT4,0,,4,
11.7.22,SVT5,0,,2,
11.7.22,SVT6,0,,15,
11.7.22,MRD1,0,,3,
11.7.22,MRD2,0,,2,
11.7.22,MRD3,0,,4,
11.7.22,MRD4,0,,32,
11.7.22,MRD5,0,,10,
11.7.22,MRD6,0,,10,
11.7.22,0.5m moonpool 1,0,,0,
11.7.22,0.5m moonpool 2,0,,0,
11.7.22,0.5m moonpool 3,0,,0,
11.7.22,1m moonpool 1,0,,0,
11.7.22,1m moonpool 2,0,,0,
11.7.22,1m moonpool 3,0,,0,
11.7.22,1m off platform 1,0,,0,
11.7.22,1m off platform 2,0,,0,
11.7.22,1m off platform 3,0,,0,
11.7.22,0.5m off platform 1,0,,0,
11.7.22,0.5m off platform 2,0,,0,
11.7.22,0.5m off platform 3,0,,0,
11.7.22,0.5m off platform 4,0,,0,
11.7.22,0.5m off platform 5,0,,0,
11.7.22,0.5m off platform 6,0,,0,
,Controls,,,,
11.7.22,River,27,,2,
11.7.22,Sarine 1,1,,5,
11.7.22,Sarine 2,1,,4,
11.7.22,Sarine STEP 1,2,,1,
11.7.22,Sarine STEP 2,10,,2,
18.4.22,,,,,
